symbol,date,time,open,high,low,close,volume
TSLA,2026-02-04,09:45:00,422.49,422.5553,421.29,421.29,215480
TSLA,2026-02-04,09:46:00,421.345,422.41,421.01,422.31,189048
TSLA,2026-02-04,09:47:00,422.34,422.5536,421.18,421.1801,136104
TSLA,2026-02-04,09:48:00,421.24,422.25,421.22,421.933,169004
TSLA,2026-02-04,09:49:00,421.98,422.38,421.63,422.1499,173602
TSLA,2026-02-04,09:50:00,422.15,422.1799,420.63,421.22,242223
TSLA,2026-02-04,09:51:00,421.36,422.33,420.9473,422.075,200165
TSLA,2026-02-04,09:52:00,422.075,422.86,421.52,421.805,289598
TSLA,2026-02-04,09:53:00,421.76,421.878,420.2849,421.1103,245465
TSLA,2026-02-04,09:54:00,421.0101,423.3418,421.0101,423.3418,246864
TSLA,2026-02-04,09:55:00,423.36,423.9,422.19,422.39,308183
TSLA,2026-02-04,09:56:00,422.395,422.46,420.25,420.29,275777
TSLA,2026-02-04,09:57:00,420.31,420.32,419.2,419.5,257477
TSLA,2026-02-04,09:58:00,419.51,419.64,418.55,418.924,283180
TSLA,2026-02-04,09:59:00,418.8675,419.47,418.82,419.35,167351
TSLA,2026-02-05,09:30:00,397.015,398.4,396.11,397.17,1051397.0
TSLA,2026-02-05,09:31:00,397.1917,398.09,394.2393,394.335,637697
TSLA,2026-02-05,09:32:00,394.335,396.5995,392.84,396.16,552045
TSLA,2026-02-05,09:33:00,396.205,396.88,394.57,395.17,334919
TSLA,2026-02-05,09:34:00,395.34,398.57,395.11,398.43,383086
TSLA,2026-02-05,09:35:00,398.53,399.65,397.7,398.35,372102
TSLA,2026-02-05,09:36:00,398.35,399.075,397.25,398.6799,284142
TSLA,2026-02-05,09:37:00,398.62,400.25,397.82,400.0101,448810
TSLA,2026-02-05,09:38:00,400.0428,400.68,399.88,400.6434,287505
TSLA,2026-02-05,09:39:00,400.67,401.15,399.47,399.97,341776
TSLA,2026-02-05,09:40:00,400,400.4099,399.07,400.22,245985
TSLA,2026-02-05,09:41:00,400.22,400.32,397.86,397.86,287352
TSLA,2026-02-05,09:42:00,397.9,399.22,397.66,398.08,238236
TSLA,2026-02-05,09:43:00,398.11,400.09,397.73,400.01,285304
TSLA,2026-02-05,09:44:00,399.9895,400.47,399.3,399.335,191437
TSLA,2026-02-05,09:45:00,399.335,399.46,398.5,398.57,189507
TSLA,2026-02-05,09:46:00,398.565,399.26,398.19,398.36,170364
TSLA,2026-02-05,09:47:00,398.415,399.43,398.3601,398.61,130453
TSLA,2026-02-05,09:48:00,398.62,399.4198,397.83,397.89,195301
TSLA,2026-02-05,09:49:00,397.885,399.42,397.81,399.385,157729
TSLA,2026-02-05,09:50:00,399.38,400.08,399.02,399.315,258108
TSLA,2026-02-05,09:51:00,399.37,399.66,397.62,397.775,272803
TSLA,2026-02-05,09:52:00,397.73,398.1,396.42,397.555,271246
TSLA,2026-02-05,09:53:00,397.61,398.1,396.767,396.97,211144
TSLA,2026-02-05,09:54:00,396.9264,397.32,396.02,396.48,233184
TSLA,2026-02-05,09:55:00,396.46,396.98,395.95,396.71,224350
TSLA,2026-02-05,09:56:00,396.64,396.64,395.85,396.01,157433
TSLA,2026-02-05,09:57:00,396.0116,396.42,395.3,395.6234,210683
TSLA,2026-02-05,09:58:00,395.595,396.01,395.26,395.3,168485
TSLA,2026-02-05,09:59:00,395.34,395.71,394.75,395.45,345357
TSLA,2026-02-06,09:30:00,400.87,401.3,398.15,398.73,854118
TSLA,2026-02-06,09:31:00,399.02,400.75,398.5,399.43,242974
TSLA,2026-02-06,09:32:00,399.6985,401.1699,397.751,400.975,290411
TSLA,2026-02-06,09:33:00,401.106,402.2,400.16,401.5005,345037
TSLA,2026-02-06,09:34:00,401.495,402.97,401.47,402.8501,386466
TSLA,2026-02-06,09:35:00,402.91,404.49,402.28,404.14,475313
TSLA,2026-02-06,09:36:00,404.215,404.87,403.4501,404.66,405195
TSLA,2026-02-06,09:37:00,404.7067,404.74,403.11,403.5786,330580
TSLA,2026-02-06,09:38:00,403.49,405.45,403.45,405.405,373269
TSLA,2026-02-06,09:39:00,405.3866,405.86,404.33,404.6813,387274
